Toronto,762
Ottawa,139
Hamilton,97
Kitchener,66
London,54
Oshawa,43
Windsor,40
St. Catharines,32
Barrie,20
Guelph,19
Kingston,16
Kanata,16
Milton,14
Brantford,14
Thunder Bay,13
Sudbury,12
